Track ID,Album ID,Album,Release Date,Track,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,tempo,loudness,duration_ms,popularity
2URDbWGmPz3vhagl25p8OC,7v6FNgLDS8KmaWA1amUtqe,Tranquility Base Hotel & Casino,2018-05-10,Tranquility Base Hotel & Casino,0.0396,0.586,0.837,0.0139,0.224,0.03,0.777,142.175,-4.333,211968,0.55
0U6Vg6RUmzADUO0Y9fVKft,7v6FNgLDS8KmaWA1amUtqe,Tranquility Base Hotel & Casino,2018-05-10,Golden Trunks,0.129,0.492,0.564,1.85e-05,0.131,0.0278,0.0894,92.542,-5.809,173627,0.47
5rqQTEIVK2PTuXU9GI2wT0,7v6FNgLDS8KmaWA1amUtqe,Tranquility Base Hotel & Casino,2018-05-10,The World's First Ever Monster Truck Front Flip,0.346,0.602,0.602,0.36,0.0735,0.0303,0.553,145.075,-5.742,180013,0.47
6hkfgHhYXyDVYahUOZhGRd,7v6FNgLDS8KmaWA1amUtqe,Tranquility Base Hotel & Casino,2018-05-10,Science Fiction,0.0295,0.542,0.766,0.0802,0.396,0.0282,0.644,88.055,-5.411,185907,0.47
60T4FDF1tTcFlXkI08FFhL,7v6FNgLDS8KmaWA1amUtqe,Tranquility Base Hotel & Casino,2018-05-10,She Looks Like Fun,0.00944,0.513,0.773,0.00358,0.387,0.0388,0.445,103.944,-3.754,182560,0.48
7aiKdAM9WYW3GzWSA9OXIl,7v6FNgLDS8KmaWA1amUtqe,Tranquility Base Hotel & Casino,2018-05-10,Batphone,0.313,0.674,0.681,0.0,0.304,0.0355,0.674,106.525,-5.728,271613,0.49
3PhbzvTllkq1rkULafc6ns,7v6FNgLDS8KmaWA1amUtqe,Tranquility Base Hotel & Casino,2018-05-10,The Ultracheese,0.624,0.478,0.555,3.98e-05,0.126,0.0403,0.426,131.474,-6.551,217720,0.52
5Z5nbOXhsSbySVC7WUc6y9,7v6FNgLDS8KmaWA1amUtqe,Tranquility Base Hotel & Casino,2018-05-10,Four Out Of Five,0.0626,0.599,0.864,0.0,0.0717,0.069,0.676,130.199,-4.31,312347,0.58
3d7DrmuuKPkJxvCX7G7pOZ,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,Do Me A Favour - Live,0.0355,0.207,0.837,0.000173,0.758,0.211,0.297,173.112,-9.093,239533,0.38
5dthj0uH1DJAbxC6B9n4Co,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,Four Out Of Five - Live,0.0887,0.463,0.802,0.0,0.949,0.0711,0.451,129.643,-7.804,331520,0.41
1RJxGCTCROHUFVWMFOWPYM,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,Brianstorm - Live,0.0197,0.291,0.934,0.000707,0.833,0.17,0.244,80.602,-8.238,209907,0.4
38mecB29TH0gTqIxhM4OK1,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,Crying Lightning - Live,0.0167,0.329,0.867,0.0,0.442,0.116,0.324,104.671,-7.588,240707,0.4
5zDoSmh06F7kjXGIHFhQzh,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,Do I Wanna Know? - Live,0.0924,0.252,0.77,2.97e-05,0.688,0.0489,0.305,84.366,-7.925,281093,0.44
1VUcb7Ik5bYw0SzXBH9rLr,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,Why'd You Only Call Me When You're High? - Live,0.175,0.371,0.811,0.00012,0.722,0.0577,0.533,91.691,-7.591,183680,0.41
4Q2vbGXSU28xWveWKp4wra,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,505 - Live,0.0133,0.343,0.724,3.89e-05,0.325,0.0753,0.186,139.451,-9.384,275733,0.41
4hZlP9bciuyeBMxPqYHR1C,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,One Point Perspective - Live,0.182,0.554,0.643,0.0133,0.236,0.0323,0.818,76.985,-9.395,202707,0.37
5F3cEp3T5zbvWtBsp2FVzp,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,Cornerstone - Live,0.153,0.368,0.779,0.000266,0.892,0.0869,0.472,76.495,-7.564,221973,0.38
3JcVulhVMfRmEpWmbEVqkk,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,From The Ritz To The Rubble - Live,0.0909,0.173,0.918,0.0,0.957,0.142,0.421,173.821,-7.598,221947,0.36
29kEMCLEdzXhZgOngvUrPY,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,Arabella - Live,0.176,0.391,0.825,0.0,0.704,0.253,0.291,91.389,-8.18,246973,0.38
1ll6X7gXZtDL4G0eOqfCjQ,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,Tranquility Base Hotel & Casino - Live,0.251,0.428,0.75,0.00104,0.705,0.0904,0.383,142.657,-9.14,243240,0.36
09NwfVvbphzx8H2VHskQAD,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,She Looks Like Fun - Live,0.171,0.284,0.635,6e-06,0.756,0.0488,0.385,106.295,-8.476,201773,0.35
1SaOPXYjSahmVwFSGlCXNI,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,Pretty Visitors - Live,0.034,0.262,0.905,0.0,0.76,0.0968,0.274,109.727,-6.681,241240,0.35
1peQof7MvOPkX8ZRWEWKjp,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,Don't Sit Down 'Cause I've Moved Your Chair - Live,0.0915,0.267,0.809,0.00915,0.891,0.0678,0.38,113.656,-8.326,221253,0.35
4YS0QKXLqqSM3MxlWej009,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,I Bet You Look Good On The Dancefloor - Live,0.14,0.241,0.968,6.46e-06,0.92,0.378,0.0991,120.412,-7.381,293520,0.37
24RoLuJnqJiqzlSIbqVCoG,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,Star Treatment - Live,0.18,0.507,0.703,5.84e-06,0.784,0.0655,0.51,120.299,-8.529,335213,0.35
6yZMhEmlZDbsH5ayXo0zaO,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,The View From The Afternoon - Live,0.0466,0.252,0.933,1.09e-06,0.861,0.244,0.187,145.98,-7.33,264227,0.34
30a6L5cAZgVbqA3QfO0RS5,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,R U Mine? - Live,0.132,0.196,0.959,0.0,0.969,0.15,0.269,98.424,-6.71,371853,0.37
5yJKvGzNSgxbyAGmOrIF3t,7Heaa0B4KOxdWhSICTR2wE,Live at the Royal Albert Hall,2020-12-04,Knee Socks - Live,0.167,0.556,0.578,0.0228,0.712,0.0319,0.268,97.791,-9.992,350467,0.38
1UwUhKmFxGKs59xiWO60Sx,2GROf0WKoP5Er2M9RXVNNs,The Car,2022-10-21,I Ain’t Quite Where I Think I Am,0.357,0.544,0.337,6.34e-05,0.085,0.0653,0.667,192.685,-9.846,191174,0.52
5hljqZrl0h7RcIhUnOPuve,2GROf0WKoP5Er2M9RXVNNs,The Car,2022-10-21,Sculptures Of Anything Goes,0.704,0.591,0.309,0.0122,0.102,0.0287,0.257,71.573,-11.087,239151,0.57
2HReNSxrMRcJ0cYMzKAJK6,2GROf0WKoP5Er2M9RXVNNs,The Car,2022-10-21,Jet Skis On The Moat,0.856,0.651,0.244,0.00165,0.0895,0.0544,0.395,149.759,-11.925,197576,0.52
42GuKw49pPxNAkIhWGwgFs,2GROf0WKoP5Er2M9RXVNNs,The Car,2022-10-21,Body Paint,0.568,0.556,0.315,0.0,0.0774,0.0625,0.256,143.327,-11.651,290584,0.56
0z5x3VmmQ7cyTeOP7VAf3T,2GROf0WKoP5Er2M9RXVNNs,The Car,2022-10-21,Perfect Sense,0.61,0.52,0.478,0.00122,0.105,0.0276,0.545,82.932,-10.862,167380,0.5
4KPi4VNvPOfKqIp1sx19Xf,2GROf0WKoP5Er2M9RXVNNs,The Car,2022-10-21,Big Ideas,0.663,0.548,0.328,0.00365,0.0972,0.0296,0.343,67.023,-9.973,237984,0.54
5ygEUpyZy5qtZ1423zymBW,2GROf0WKoP5Er2M9RXVNNs,The Car,2022-10-21,Hello You,0.276,0.394,0.452,0.00998,0.193,0.0321,0.653,169.298,-9.923,244932,0.54
5fClRRa7P9nPIpstj50veV,2GROf0WKoP5Er2M9RXVNNs,The Car,2022-10-21,Mr Schwartz,0.802,0.569,0.335,0.018,0.0834,0.0322,0.388,127.587,-13.637,210012,0.49
0C6dSPCqwKqwos6s1CrDrh,2GROf0WKoP5Er2M9RXVNNs,The Car,2022-10-21,The Car,0.78,0.428,0.365,0.0033,0.113,0.0276,0.236,94.033,-11.889,198554,0.51
1zx6GSqLYI2ynzAHnPRKBR,2GROf0WKoP5Er2M9RXVNNs,The Car,2022-10-21,There’d Better Be A Mirrorball,0.626,0.521,0.365,0.012,0.185,0.0317,0.324,143.789,-10.914,265798,0.58
