track_name,album_name,artist_name,release_date,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Star Treatment - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,24RoLuJnqJiqzlSIbqVCoG,0.507,0.703,10,-8.529,1,0.0655,0.18,5.84E-06,0.784,0.51,120.299,audio_features,24RoLuJnqJiqzlSIbqVCoG,spotify:track:24RoLuJnqJiqzlSIbqVCoG,https://api.spotify.com/v1/tracks/24RoLuJnqJiqzlSIbqVCoG,https://api.spotify.com/v1/audio-analysis/24RoLuJnqJiqzlSIbqVCoG,335213,4
The View From The Afternoon - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,6yZMhEmlZDbsH5ayXo0zaO,0.252,0.933,2,-7.33,1,0.244,0.0466,1.09E-06,0.861,0.187,145.98,audio_features,6yZMhEmlZDbsH5ayXo0zaO,spotify:track:6yZMhEmlZDbsH5ayXo0zaO,https://api.spotify.com/v1/tracks/6yZMhEmlZDbsH5ayXo0zaO,https://api.spotify.com/v1/audio-analysis/6yZMhEmlZDbsH5ayXo0zaO,264227,4
R U Mine? - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,30a6L5cAZgVbqA3QfO0RS5,0.196,0.959,11,-6.71,0,0.15,0.132,0,0.969,0.269,98.424,audio_features,30a6L5cAZgVbqA3QfO0RS5,spotify:track:30a6L5cAZgVbqA3QfO0RS5,https://api.spotify.com/v1/tracks/30a6L5cAZgVbqA3QfO0RS5,https://api.spotify.com/v1/audio-analysis/30a6L5cAZgVbqA3QfO0RS5,371853,4
Star Treatment,Tranquility Base Hotel & Casino,Arctic Monkeys,10-05-18,0b93tWwuoAC0nXe1CfR30I,0.582,0.766,7,-5.028,0,0.0528,0.244,0.00136,0.141,0.665,120.081,audio_features,0b93tWwuoAC0nXe1CfR30I,spotify:track:0b93tWwuoAC0nXe1CfR30I,https://api.spotify.com/v1/tracks/0b93tWwuoAC0nXe1CfR30I,https://api.spotify.com/v1/audio-analysis/0b93tWwuoAC0nXe1CfR30I,354640,4
One Point Perspective,Tranquility Base Hotel & Casino,Arctic Monkeys,10-05-18,1t67WYNfUxfOiwaz7SJ66b,0.714,0.586,8,-4.57,1,0.0419,0.057,0.00464,0.144,0.844,77.104,audio_features,1t67WYNfUxfOiwaz7SJ66b,spotify:track:1t67WYNfUxfOiwaz7SJ66b,https://api.spotify.com/v1/tracks/1t67WYNfUxfOiwaz7SJ66b,https://api.spotify.com/v1/audio-analysis/1t67WYNfUxfOiwaz7SJ66b,208640,4
American Sports,Tranquility Base Hotel & Casino,Arctic Monkeys,10-05-18,2HbYLDA1SigY1ilC94ieVu,0.371,0.865,7,-4.288,0,0.0512,0.00169,0.00304,0.127,0.594,176.724,audio_features,2HbYLDA1SigY1ilC94ieVu,spotify:track:2HbYLDA1SigY1ilC94ieVu,https://api.spotify.com/v1/tracks/2HbYLDA1SigY1ilC94ieVu,https://api.spotify.com/v1/audio-analysis/2HbYLDA1SigY1ilC94ieVu,158040,3
Tranquility Base Hotel & Casino,Tranquility Base Hotel & Casino,Arctic Monkeys,10-05-18,2URDbWGmPz3vhagl25p8OC,0.586,0.837,9,-4.333,0,0.03,0.0396,0.0139,0.224,0.777,142.175,audio_features,2URDbWGmPz3vhagl25p8OC,spotify:track:2URDbWGmPz3vhagl25p8OC,https://api.spotify.com/v1/tracks/2URDbWGmPz3vhagl25p8OC,https://api.spotify.com/v1/audio-analysis/2URDbWGmPz3vhagl25p8OC,211968,4
Golden Trunks,Tranquility Base Hotel & Casino,Arctic Monkeys,10-05-18,0U6Vg6RUmzADUO0Y9fVKft,0.492,0.564,2,-5.809,1,0.0278,0.129,1.85E-05,0.131,0.0894,92.542,audio_features,0U6Vg6RUmzADUO0Y9fVKft,spotify:track:0U6Vg6RUmzADUO0Y9fVKft,https://api.spotify.com/v1/tracks/0U6Vg6RUmzADUO0Y9fVKft,https://api.spotify.com/v1/audio-analysis/0U6Vg6RUmzADUO0Y9fVKft,173627,4
Four Out Of Five,Tranquility Base Hotel & Casino,Arctic Monkeys,10-05-18,5Z5nbOXhsSbySVC7WUc6y9,0.599,0.864,0,-4.31,1,0.069,0.0626,0,0.0717,0.676,130.199,audio_features,5Z5nbOXhsSbySVC7WUc6y9,spotify:track:5Z5nbOXhsSbySVC7WUc6y9,https://api.spotify.com/v1/tracks/5Z5nbOXhsSbySVC7WUc6y9,https://api.spotify.com/v1/audio-analysis/5Z5nbOXhsSbySVC7WUc6y9,312347,4
The World's First Ever Monster Truck Front Flip,Tranquility Base Hotel & Casino,Arctic Monkeys,10-05-18,5rqQTEIVK2PTuXU9GI2wT0,0.602,0.602,10,-5.742,1,0.0303,0.346,0.36,0.0735,0.553,145.075,audio_features,5rqQTEIVK2PTuXU9GI2wT0,spotify:track:5rqQTEIVK2PTuXU9GI2wT0,https://api.spotify.com/v1/tracks/5rqQTEIVK2PTuXU9GI2wT0,https://api.spotify.com/v1/audio-analysis/5rqQTEIVK2PTuXU9GI2wT0,180013,4
Science Fiction,Tranquility Base Hotel & Casino,Arctic Monkeys,10-05-18,6hkfgHhYXyDVYahUOZhGRd,0.542,0.766,7,-5.411,1,0.0282,0.0295,0.0802,0.396,0.644,88.055,audio_features,6hkfgHhYXyDVYahUOZhGRd,spotify:track:6hkfgHhYXyDVYahUOZhGRd,https://api.spotify.com/v1/tracks/6hkfgHhYXyDVYahUOZhGRd,https://api.spotify.com/v1/audio-analysis/6hkfgHhYXyDVYahUOZhGRd,185907,4
She Looks Like Fun,Tranquility Base Hotel & Casino,Arctic Monkeys,10-05-18,60T4FDF1tTcFlXkI08FFhL,0.513,0.773,0,-3.754,1,0.0388,0.00944,0.00358,0.387,0.445,103.944,audio_features,60T4FDF1tTcFlXkI08FFhL,spotify:track:60T4FDF1tTcFlXkI08FFhL,https://api.spotify.com/v1/tracks/60T4FDF1tTcFlXkI08FFhL,https://api.spotify.com/v1/audio-analysis/60T4FDF1tTcFlXkI08FFhL,182560,4
Batphone,Tranquility Base Hotel & Casino,Arctic Monkeys,10-05-18,7aiKdAM9WYW3GzWSA9OXIl,0.674,0.681,5,-5.728,0,0.0355,0.313,0,0.304,0.674,106.525,audio_features,7aiKdAM9WYW3GzWSA9OXIl,spotify:track:7aiKdAM9WYW3GzWSA9OXIl,https://api.spotify.com/v1/tracks/7aiKdAM9WYW3GzWSA9OXIl,https://api.spotify.com/v1/audio-analysis/7aiKdAM9WYW3GzWSA9OXIl,271613,4
The Ultracheese,Tranquility Base Hotel & Casino,Arctic Monkeys,10-05-18,3PhbzvTllkq1rkULafc6ns,0.478,0.555,9,-6.551,1,0.0403,0.624,3.98E-05,0.126,0.426,131.474,audio_features,3PhbzvTllkq1rkULafc6ns,spotify:track:3PhbzvTllkq1rkULafc6ns,https://api.spotify.com/v1/tracks/3PhbzvTllkq1rkULafc6ns,https://api.spotify.com/v1/audio-analysis/3PhbzvTllkq1rkULafc6ns,217720,3
